epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
90,1292.58,0.28911,0.10925,0.00309,0.00104,0.91192,0.83364,0.82782,0.7057,0.73912,0.57688,0.00458,0.00454,0.000590105,0.000590105,0.000590105
91,1384.77,0.28412,0.10681,0.00309,0.001,0.91143,0.83833,0.82811,0.70488,0.73987,0.56763,0.0046,0.00459,0.000582435,0.000582435,0.000582435
92,1477.91,0.28011,0.10607,0.00308,0.00104,0.91976,0.82967,0.82591,0.70206,0.74021,0.5853,0.00457,0.00461,0.000574746,0.000574746,0.000574746
93,1570.47,0.2824,0.10761,0.00306,0.00101,0.90435,0.84222,0.82959,0.70591,0.7407,0.58133,0.00457,0.00459,0.00056704,0.00056704,0.00056704
94,1663.86,0.2766,0.10479,0.00307,0.00097,0.90822,0.83706,0.8272,0.70559,0.73159,0.56841,0.00455,0.00448,0.000559318,0.000559318,0.000559318
95,1757.32,0.27973,0.10628,0.00307,0.001,0.90844,0.83698,0.82859,0.70635,0.73623,0.57186,0.00458,0.00459,0.000551584,0.000551584,0.000551584
96,1848.96,0.2831,0.10719,0.00308,0.00103,0.91101,0.83919,0.82864,0.70638,0.73625,0.57347,0.00455,0.00459,0.000543837,0.000543837,0.000543837
97,1941.43,0.27755,0.10469,0.00308,0.00095,0.9202,0.83032,0.82794,0.70637,0.72891,0.55818,0.00454,0.00446,0.000536081,0.000536081,0.000536081
98,2034.43,0.27518,0.10264,0.00307,0.00094,0.91321,0.83867,0.82808,0.70535,0.73358,0.56115,0.00455,0.00454,0.000528318,0.000528318,0.000528318
99,2126.48,0.27212,0.10074,0.00305,0.00092,0.91915,0.83408,0.82773,0.70509,0.72803,0.56133,0.00453,0.00457,0.000520548,0.000520548,0.000520548
100,2219.3,0.26532,0.0983,0.00305,0.00092,0.91113,0.84001,0.8304,0.70528,0.73504,0.57129,0.00457,0.00456,0.000512775,0.000512775,0.000512775
101,2311.82,0.263,0.09761,0.00306,0.00089,0.90799,0.84482,0.82891,0.70676,0.72961,0.56092,0.00454,0.00459,0.000505,0.000505,0.000505
102,2404.63,0.2711,0.10221,0.00306,0.00091,0.91348,0.83449,0.8294,0.70562,0.73468,0.56813,0.00453,0.00458,0.000497225,0.000497225,0.000497225
103,2496.87,0.26467,0.09783,0.00304,0.00088,0.90797,0.84044,0.82943,0.70738,0.73149,0.56991,0.00454,0.00444,0.000489452,0.000489452,0.000489452
104,2588.58,0.25485,0.09396,0.00305,0.00087,0.90895,0.83967,0.83012,0.70525,0.72843,0.56869,0.00454,0.00452,0.000481682,0.000481682,0.000481682
105,2680.87,0.25963,0.09578,0.00304,0.00086,0.91512,0.83726,0.829,0.70515,0.72895,0.55909,0.00456,0.00453,0.000473919,0.000473919,0.000473919
106,2773.18,0.25428,0.09347,0.00304,0.00085,0.9184,0.83348,0.8314,0.70883,0.72455,0.56309,0.00455,0.0046,0.000466163,0.000466163,0.000466163
107,2865.71,0.24577,0.08952,0.00302,0.00082,0.91579,0.83452,0.82846,0.7051,0.72647,0.56773,0.00455,0.00453,0.000458416,0.000458416,0.000458416
108,2959.77,0.2486,0.09082,0.00302,0.00084,0.91148,0.83668,0.82954,0.70578,0.72997,0.57815,0.00454,0.00455,0.000450682,0.000450682,0.000450682
109,3051.63,0.24847,0.09033,0.00302,0.00084,0.91463,0.83117,0.82649,0.70447,0.72556,0.56443,0.00454,0.00452,0.00044296,0.00044296,0.00044296
110,3144.35,0.24474,0.08938,0.00302,0.00081,0.91443,0.83517,0.82816,0.70585,0.72625,0.5688,0.00454,0.00449,0.000435254,0.000435254,0.000435254
111,3235.85,0.24374,0.08775,0.00304,0.00081,0.90735,0.84006,0.82842,0.70563,0.7273,0.57335,0.00455,0.0045,0.000427565,0.000427565,0.000427565
112,3328.4,0.23882,0.08583,0.00301,0.00079,0.91422,0.83603,0.82673,0.70407,0.72566,0.57087,0.00454,0.00451,0.000419895,0.000419895,0.000419895
113,3421.39,0.23828,0.08579,0.00301,0.00078,0.91098,0.83341,0.82738,0.70506,0.72605,0.56758,0.00456,0.00453,0.000412246,0.000412246,0.000412246
