epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,2880.46,0.95384,0.64549,0.00373,0.01003,0.92734,0.85584,0.88036,0.75862,0.78665,0.51219,0.00476,0.00599,0.000922942,0.000922942,0.000922942
38,2958.09,0.94166,0.63763,0.00374,0.01023,0.92806,0.8483,0.8761,0.75028,0.80108,0.53121,0.00482,0.00683,0.000918725,0.000918725,0.000918725
39,3035.99,0.96131,0.65257,0.00378,0.01051,0.93122,0.85628,0.8762,0.75416,0.79375,0.52934,0.00484,0.00675,0.000914405,0.000914405,0.000914405
40,3114.42,0.93759,0.59996,0.00363,0.01008,0.93278,0.85248,0.87084,0.75337,0.78156,0.51881,0.00477,0.006,0.000909984,0.000909984,0.000909984
41,3192.55,0.95418,0.63616,0.00374,0.01014,0.93269,0.8628,0.88659,0.76439,0.79968,0.50554,0.00484,0.00581,0.000905463,0.000905463,0.000905463
42,3270.3,0.9266,0.60568,0.00369,0.00964,0.93331,0.8613,0.87616,0.75486,0.79151,0.54288,0.00479,0.00619,0.000900844,0.000900844,0.000900844
43,3346.96,0.94361,0.63253,0.00372,0.00993,0.92415,0.85697,0.87996,0.75928,0.79932,0.52498,0.00477,0.00608,0.000896127,0.000896127,0.000896127
44,3424.36,0.94292,0.6285,0.00375,0.01016,0.9321,0.85664,0.87106,0.74943,0.80069,0.53872,0.00484,0.00648,0.000891313,0.000891313,0.000891313
45,3502.35,0.93749,0.61455,0.00371,0.00963,0.93214,0.87072,0.87955,0.76002,0.78859,0.53122,0.00478,0.00594,0.000886404,0.000886404,0.000886404
46,3580.3,0.93444,0.60332,0.00373,0.00999,0.92877,0.85185,0.87949,0.75642,0.79106,0.55012,0.00476,0.00657,0.000881401,0.000881401,0.000881401
47,3658.58,0.95042,0.6307,0.00373,0.01067,0.94116,0.8551,0.87673,0.76248,0.7699,0.51942,0.00479,0.00537,0.000876305,0.000876305,0.000876305
48,3736.14,0.93499,0.61595,0.00372,0.0097,0.942,0.85516,0.88142,0.76645,0.7727,0.50857,0.00473,0.00561,0.000871117,0.000871117,0.000871117
49,3813.78,0.93803,0.60722,0.00375,0.00963,0.93503,0.85884,0.88071,0.76277,0.78622,0.52446,0.00475,0.00579,0.000865839,0.000865839,0.000865839
50,3890.88,0.92809,0.6017,0.0037,0.00955,0.94714,0.86475,0.88527,0.76837,0.76546,0.49845,0.00475,0.00507,0.000860473,0.000860473,0.000860473
51,3969.4,0.9341,0.60191,0.00364,0.00939,0.92937,0.86395,0.87974,0.76314,0.7766,0.52056,0.00475,0.00517,0.000855018,0.000855018,0.000855018
52,4046.77,0.91545,0.5859,0.0037,0.00935,0.93542,0.86199,0.88017,0.76459,0.77996,0.52432,0.00476,0.00538,0.000849477,0.000849477,0.000849477
53,4124.25,0.92934,0.60013,0.0037,0.00895,0.93118,0.87167,0.88489,0.76777,0.78242,0.51098,0.00479,0.00573,0.000843851,0.000843851,0.000843851
54,4201.12,0.90988,0.57986,0.00369,0.00931,0.93645,0.87477,0.88065,0.76605,0.78812,0.52403,0.00483,0.00561,0.000838141,0.000838141,0.000838141
55,4279.36,0.92944,0.60174,0.00366,0.00923,0.92981,0.87523,0.88407,0.76958,0.77348,0.50882,0.00476,0.00545,0.000832349,0.000832349,0.000832349
56,4357.21,0.93053,0.60837,0.00369,0.00949,0.9375,0.86714,0.88636,0.77156,0.77112,0.50226,0.00475,0.00533,0.000826477,0.000826477,0.000826477
57,4434.8,0.92525,0.59234,0.00371,0.0092,0.93955,0.85861,0.88132,0.76685,0.7712,0.50698,0.00475,0.00529,0.000820525,0.000820525,0.000820525
58,4512.77,0.9111,0.57575,0.00363,0.00896,0.93982,0.86174,0.88249,0.76497,0.77563,0.51942,0.00476,0.00501,0.000814495,0.000814495,0.000814495
59,4589.98,0.90682,0.56356,0.00368,0.00878,0.94071,0.8441,0.88042,0.76345,0.79587,0.5585,0.0048,0.00706,0.000808389,0.000808389,0.000808389
60,4667.61,0.91685,0.58746,0.00365,0.00939,0.94113,0.86943,0.88587,0.77143,0.76316,0.51195,0.00473,0.0052,0.000802208,0.000802208,0.000802208
