epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,3140.49,0.95125,0.62524,0.00369,0.00974,0.92397,0.85974,0.8765,0.75065,0.80982,0.51229,0.00469,0.00593,0.000922942,0.000922942,0.000922942
38,3227.22,0.95813,0.64288,0.00365,0.01026,0.94973,0.83952,0.8813,0.75739,0.78651,0.48651,0.00465,0.00526,0.000918725,0.000918725,0.000918725
39,3312.31,0.93807,0.61529,0.00369,0.00981,0.93456,0.8657,0.88174,0.76028,0.7843,0.48774,0.00469,0.0054,0.000914405,0.000914405,0.000914405
40,3395.99,0.94599,0.62545,0.00367,0.00985,0.93611,0.85892,0.87632,0.75794,0.77503,0.49437,0.00465,0.00532,0.000909984,0.000909984,0.000909984
41,3480.02,0.94902,0.61277,0.00368,0.00956,0.94362,0.85122,0.86857,0.74904,0.78139,0.50095,0.00465,0.00544,0.000905463,0.000905463,0.000905463
42,3564.08,0.94118,0.62045,0.00372,0.00958,0.94022,0.8596,0.87218,0.75297,0.78128,0.51302,0.00467,0.00546,0.000900844,0.000900844,0.000900844
43,3647.33,0.93761,0.59773,0.00366,0.00956,0.93191,0.86161,0.88163,0.75927,0.77924,0.50679,0.0046,0.00547,0.000896127,0.000896127,0.000896127
44,3731.06,0.9343,0.59932,0.00367,0.0099,0.93114,0.86896,0.87881,0.75929,0.78368,0.49808,0.00465,0.0057,0.000891313,0.000891313,0.000891313
45,3814.79,0.92574,0.59687,0.00371,0.00982,0.92872,0.86474,0.87112,0.7504,0.78773,0.51632,0.00467,0.00562,0.000886404,0.000886404,0.000886404
46,3897.73,0.91336,0.57664,0.0037,0.00933,0.94189,0.85721,0.88084,0.76231,0.76943,0.47704,0.00464,0.00543,0.000881401,0.000881401,0.000881401
47,3981.99,0.93096,0.60057,0.00367,0.00976,0.93921,0.86476,0.87705,0.75874,0.77478,0.4994,0.00467,0.0057,0.000876305,0.000876305,0.000876305
48,4066.95,0.93564,0.61344,0.00369,0.00961,0.93861,0.86806,0.88628,0.76748,0.77021,0.46838,0.00464,0.00563,0.000871117,0.000871117,0.000871117
49,4151.37,0.92902,0.58544,0.00367,0.00918,0.94141,0.85347,0.86876,0.74815,0.78441,0.52861,0.00465,0.00573,0.000865839,0.000865839,0.000865839
50,4235.86,0.92098,0.57893,0.00362,0.00943,0.94157,0.85756,0.87799,0.76114,0.76376,0.49413,0.00465,0.00508,0.000860473,0.000860473,0.000860473
51,4319.59,0.92196,0.5908,0.00368,0.0095,0.94094,0.86343,0.87379,0.75339,0.79154,0.50673,0.00465,0.00913,0.000855018,0.000855018,0.000855018
52,4404.03,0.92618,0.59173,0.00364,0.00938,0.9322,0.85689,0.87833,0.76148,0.77083,0.50696,0.00464,0.00516,0.000849477,0.000849477,0.000849477
53,4488.18,0.92274,0.58221,0.00361,0.00886,0.9404,0.87152,0.87839,0.76087,0.76783,0.48141,0.00466,0.00508,0.000843851,0.000843851,0.000843851
54,4572.21,0.92797,0.59566,0.00364,0.00916,0.93746,0.8703,0.8785,0.76194,0.77357,0.49459,0.00461,0.00566,0.000838141,0.000838141,0.000838141
55,4656.19,0.91862,0.58326,0.0037,0.00892,0.94096,0.86073,0.87303,0.75831,0.76544,0.50798,0.00461,0.00474,0.000832349,0.000832349,0.000832349
56,4739.76,0.92771,0.58971,0.0037,0.00924,0.92953,0.86885,0.87861,0.76302,0.75697,0.49819,0.00464,0.00464,0.000826477,0.000826477,0.000826477
57,4824.66,0.8995,0.55945,0.00365,0.00886,0.9394,0.87379,0.87939,0.76483,0.7602,0.50409,0.00463,0.00475,0.000820525,0.000820525,0.000820525
58,4908.27,0.90079,0.56516,0.00363,0.00898,0.94409,0.86195,0.89073,0.77526,0.7599,0.47628,0.0046,0.00499,0.000814495,0.000814495,0.000814495
59,4991.97,0.91714,0.56784,0.00362,0.00883,0.94466,0.86561,0.87613,0.76115,0.76281,0.49474,0.00462,0.00477,0.000808389,0.000808389,0.000808389
60,5075.67,0.90438,0.55475,0.00359,0.00872,0.93909,0.87178,0.87651,0.76351,0.76309,0.48781,0.00463,0.00489,0.000802208,0.000802208,0.000802208
61,5160.19,0.91699,0.57245,0.00364,0.00904,0.94158,0.87133,0.88578,0.77155,0.76609,0.4928,0.00459,0.00475,0.000795954,0.000795954,0.000795954
62,5244.47,0.91695,0.58086,0.00365,0.00871,0.9443,0.87266,0.88379,0.76984,0.75699,0.47818,0.00464,0.00546,0.000789628,0.000789628,0.000789628
63,5327.65,0.88909,0.53709,0.00364,0.00843,0.93767,0.86131,0.8728,0.75993,0.76378,0.49314,0.00461,0.00565,0.000783231,0.000783231,0.000783231
64,5410.55,0.89769,0.55031,0.0036,0.00858,0.94521,0.86204,0.8769,0.76372,0.76767,0.50556,0.00465,0.00555,0.000776766,0.000776766,0.000776766
65,5493.76,0.90532,0.56847,0.0037,0.0088,0.93962,0.87438,0.87934,0.76954,0.75836,0.49635,0.00462,0.00484,0.000770234,0.000770234,0.000770234
66,5577,0.91221,0.57394,0.00369,0.00863,0.94372,0.86563,0.8791,0.76763,0.75225,0.48252,0.00461,0.00494,0.000763637,0.000763637,0.000763637
67,5661.21,0.89649,0.54068,0.00356,0.00864,0.94288,0.87179,0.88369,0.77047,0.75792,0.47691,0.00459,0.00561,0.000756976,0.000756976,0.000756976
68,5745.78,0.89314,0.54077,0.00361,0.00823,0.93622,0.87847,0.88512,0.77235,0.75848,0.48111,0.0046,0.00484,0.000750252,0.000750252,0.000750252
69,5830.25,0.90091,0.55157,0.00363,0.00859,0.94147,0.86997,0.88467,0.77113,0.75715,0.48552,0.00462,0.00512,0.000743468,0.000743468,0.000743468
70,5915.83,0.90014,0.54638,0.00362,0.00839,0.94778,0.8758,0.88214,0.77009,0.75483,0.4791,0.00459,0.00541,0.000736625,0.000736625,0.000736625
71,6000.85,0.89071,0.53538,0.00361,0.00868,0.93737,0.87513,0.87905,0.7694,0.75164,0.47712,0.0046,0.00456,0.000729725,0.000729725,0.000729725
72,6085.51,0.89435,0.53801,0.0036,0.00836,0.9461,0.87107,0.88715,0.77432,0.75477,0.4927,0.0046,0.0046,0.00072277,0.00072277,0.00072277
73,6169.25,0.88279,0.52788,0.00358,0.00796,0.94135,0.87469,0.88338,0.77224,0.74627,0.47479,0.00461,0.00449,0.000715761,0.000715761,0.000715761
74,6253.23,0.89061,0.54712,0.00363,0.00829,0.94211,0.86768,0.87776,0.76624,0.76058,0.50813,0.00464,0.00505,0.0007087,0.0007087,0.0007087
75,6336.18,0.89155,0.54351,0.00364,0.00797,0.9376,0.87177,0.87961,0.76531,0.77015,0.48734,0.00461,0.00455,0.000701588,0.000701588,0.000701588
76,6419.63,0.88804,0.5319,0.00355,0.00814,0.9448,0.86806,0.88421,0.7743,0.75376,0.49232,0.00461,0.00443,0.000694428,0.000694428,0.000694428
77,6503.18,0.88155,0.5415,0.00356,0.00816,0.95254,0.86388,0.88595,0.77495,0.75143,0.47539,0.00458,0.00505,0.000687222,0.000687222,0.000687222
78,6586.81,0.86547,0.5146,0.00359,0.00718,0.94637,0.86724,0.88057,0.77141,0.74389,0.4934,0.00463,0.00443,0.00067997,0.00067997,0.00067997
79,6669.73,0.88453,0.54251,0.00365,0.00837,0.94787,0.87331,0.88065,0.77151,0.74667,0.48234,0.00462,0.00444,0.000672675,0.000672675,0.000672675
80,6753.48,0.87079,0.50846,0.00359,0.00809,0.94895,0.88053,0.88378,0.7732,0.74503,0.48214,0.00462,0.00427,0.000665339,0.000665339,0.000665339
81,6837.55,0.89062,0.5412,0.00362,0.0077,0.94842,0.87811,0.88425,0.77441,0.75269,0.48493,0.00468,0.00442,0.000657963,0.000657963,0.000657963
82,6921.68,0.86786,0.51523,0.0036,0.00802,0.94209,0.87884,0.87877,0.76923,0.75043,0.49756,0.00468,0.00457,0.00065055,0.00065055,0.00065055
83,7006.35,0.87579,0.5324,0.00365,0.00846,0.9482,0.87917,0.88636,0.77774,0.74837,0.47136,0.0047,0.00456,0.000643101,0.000643101,0.000643101
84,7091.27,0.88893,0.53482,0.00364,0.00798,0.9524,0.87358,0.88529,0.77822,0.74027,0.47876,0.00461,0.00427,0.000635617,0.000635617,0.000635617
85,7176.57,0.87571,0.52389,0.00359,0.00789,0.94961,0.87034,0.88444,0.77432,0.74799,0.4844,0.00462,0.00431,0.000628101,0.000628101,0.000628101
86,7260.61,0.87251,0.51664,0.0036,0.00792,0.95256,0.8698,0.88507,0.77576,0.74399,0.49077,0.0046,0.00423,0.000620555,0.000620555,0.000620555
87,7344.21,0.86303,0.51105,0.00361,0.00767,0.94461,0.88518,0.88713,0.77945,0.73705,0.47347,0.00462,0.00435,0.000612981,0.000612981,0.000612981
88,7427.66,0.87134,0.52128,0.00358,0.00775,0.94218,0.88118,0.88641,0.77765,0.74006,0.49026,0.0046,0.00424,0.00060538,0.00060538,0.00060538
89,7511.93,0.8711,0.51797,0.00357,0.00764,0.95309,0.87048,0.87569,0.7689,0.73752,0.48179,0.0046,0.00429,0.000597754,0.000597754,0.000597754
90,7595.12,0.86014,0.5083,0.00358,0.00737,0.95217,0.8731,0.88522,0.77662,0.74194,0.47389,0.0046,0.00425,0.000590105,0.000590105,0.000590105
91,7679.03,0.85858,0.50201,0.00359,0.00796,0.94333,0.87768,0.88551,0.77842,0.74566,0.48625,0.00461,0.0045,0.000582435,0.000582435,0.000582435
92,7763.03,0.87268,0.52369,0.0036,0.00802,0.9499,0.87355,0.88286,0.77391,0.74476,0.4947,0.00462,0.00432,0.000574746,0.000574746,0.000574746
93,7846.28,0.86178,0.50701,0.00353,0.00752,0.9466,0.88507,0.88312,0.77675,0.73929,0.4777,0.00459,0.00424,0.00056704,0.00056704,0.00056704
94,7929.39,0.87202,0.52488,0.00362,0.0073,0.94705,0.86938,0.88368,0.77674,0.74034,0.49148,0.00459,0.00427,0.000559318,0.000559318,0.000559318
95,8013.13,0.87086,0.50776,0.00352,0.00813,0.9536,0.87263,0.88141,0.77398,0.74012,0.49409,0.00461,0.0044,0.000551584,0.000551584,0.000551584
96,8095.34,0.83875,0.48367,0.00355,0.00721,0.95146,0.88013,0.8865,0.77836,0.74187,0.48576,0.00462,0.00413,0.000543837,0.000543837,0.000543837
97,8179.42,0.83838,0.47293,0.00348,0.00748,0.94959,0.88022,0.88095,0.77476,0.7389,0.48793,0.00459,0.00403,0.000536081,0.000536081,0.000536081
98,8263.66,0.86446,0.51479,0.00359,0.00773,0.95479,0.87507,0.8848,0.77839,0.74369,0.47713,0.00461,0.00413,0.000528318,0.000528318,0.000528318
99,8346.74,0.86325,0.50954,0.00356,0.00763,0.94958,0.8814,0.88371,0.77704,0.74015,0.48147,0.0046,0.00407,0.000520548,0.000520548,0.000520548
100,8429.58,0.86269,0.51203,0.00358,0.00748,0.95382,0.87499,0.8861,0.77925,0.73567,0.47408,0.0046,0.0041,0.000512775,0.000512775,0.000512775
101,8512.77,0.86634,0.51649,0.00357,0.00754,0.95285,0.87517,0.88384,0.77917,0.72993,0.47245,0.00463,0.00409,0.000505,0.000505,0.000505
102,8596.47,0.86598,0.50952,0.00361,0.00756,0.95492,0.87641,0.88357,0.77906,0.72938,0.47927,0.0046,0.00403,0.000497225,0.000497225,0.000497225
103,8679.87,0.83982,0.47902,0.00353,0.00704,0.9506,0.87932,0.88442,0.77858,0.73033,0.47007,0.0046,0.00409,0.000489452,0.000489452,0.000489452
104,8762.79,0.84661,0.49546,0.00359,0.00728,0.94092,0.88777,0.88573,0.77969,0.73323,0.47712,0.00459,0.00405,0.000481682,0.000481682,0.000481682
105,8845.63,0.85586,0.50483,0.00359,0.00743,0.94719,0.88281,0.88277,0.77532,0.73966,0.48637,0.00463,0.00428,0.000473919,0.000473919,0.000473919
106,8930.27,0.85424,0.49322,0.0036,0.00729,0.95347,0.87283,0.8808,0.77474,0.73947,0.48397,0.00462,0.00394,0.000466163,0.000466163,0.000466163
107,9015.38,0.83584,0.47445,0.00351,0.00728,0.95363,0.88329,0.88424,0.77918,0.73343,0.48312,0.00462,0.00393,0.000458416,0.000458416,0.000458416
108,9097.79,0.84587,0.4986,0.00357,0.00724,0.94693,0.88165,0.88425,0.7771,0.73925,0.48234,0.00462,0.00401,0.000450682,0.000450682,0.000450682
109,9181.55,0.84204,0.48854,0.00357,0.00714,0.9539,0.87935,0.88688,0.77894,0.73663,0.48,0.0046,0.00407,0.00044296,0.00044296,0.00044296
110,9265.86,0.83564,0.47607,0.00351,0.00666,0.95391,0.88666,0.88273,0.77969,0.74107,0.47911,0.00463,0.004,0.000435254,0.000435254,0.000435254
111,9349.14,0.83949,0.48377,0.00358,0.00703,0.94845,0.87856,0.8823,0.77736,0.73536,0.488,0.00461,0.00401,0.000427565,0.000427565,0.000427565
112,9432.72,0.84896,0.49284,0.00355,0.00719,0.9545,0.88359,0.88367,0.77796,0.73782,0.48519,0.00462,0.00419,0.000419895,0.000419895,0.000419895
113,9516.09,0.85303,0.4983,0.00357,0.00697,0.95506,0.87723,0.88531,0.77929,0.73719,0.47958,0.0046,0.00418,0.000412246,0.000412246,0.000412246
114,9601.17,0.84755,0.48238,0.00351,0.00726,0.95936,0.87281,0.88471,0.7788,0.73733,0.48214,0.0046,0.00383,0.00040462,0.00040462,0.00040462
115,9684.73,0.82743,0.47143,0.00354,0.00698,0.95498,0.87628,0.8847,0.77971,0.73642,0.48659,0.00461,0.00394,0.000397019,0.000397019,0.000397019
116,9769.6,0.83482,0.4708,0.0035,0.00665,0.95152,0.87754,0.88414,0.77952,0.73072,0.49201,0.00463,0.00392,0.000389445,0.000389445,0.000389445
117,9853.03,0.81695,0.45861,0.00352,0.007,0.95384,0.88677,0.88582,0.78107,0.73053,0.47614,0.00461,0.00399,0.000381899,0.000381899,0.000381899
118,9937.33,0.81839,0.44925,0.00352,0.00693,0.95399,0.88612,0.88937,0.78447,0.72646,0.47154,0.00461,0.00385,0.000374383,0.000374383,0.000374383
119,10019.7,0.83276,0.48129,0.00359,0.0071,0.95411,0.88736,0.88635,0.77974,0.73257,0.47459,0.0046,0.00381,0.000366899,0.000366899,0.000366899
120,10102.6,0.83243,0.47855,0.00355,0.00712,0.95163,0.8881,0.89065,0.784,0.73274,0.47519,0.00461,0.00395,0.00035945,0.00035945,0.00035945
121,10185.6,0.82245,0.46652,0.0035,0.00654,0.95778,0.88621,0.88977,0.7851,0.73343,0.48004,0.00462,0.00381,0.000352037,0.000352037,0.000352037
122,10269.2,0.82879,0.47394,0.00356,0.00702,0.95754,0.88611,0.88551,0.77999,0.7291,0.47373,0.00461,0.00386,0.000344661,0.000344661,0.000344661
123,10353,0.82036,0.46908,0.00352,0.00681,0.95593,0.88368,0.88281,0.77894,0.7334,0.48839,0.00461,0.00401,0.000337325,0.000337325,0.000337325
124,10436.2,0.83071,0.47308,0.00355,0.007,0.95547,0.88583,0.88821,0.78385,0.72559,0.47682,0.0046,0.00388,0.00033003,0.00033003,0.00033003
125,10519.5,0.83926,0.49056,0.00356,0.00693,0.95108,0.88671,0.88751,0.78395,0.72222,0.471,0.0046,0.0038,0.000322778,0.000322778,0.000322778
126,10603.6,0.8117,0.45886,0.00348,0.00685,0.9555,0.89244,0.88788,0.78406,0.72562,0.46974,0.0046,0.00376,0.000315572,0.000315572,0.000315572
127,10687.1,0.80988,0.45874,0.00354,0.00668,0.95193,0.88865,0.88577,0.78017,0.72623,0.47628,0.00461,0.00388,0.000308412,0.000308412,0.000308412
128,10770.5,0.81845,0.45975,0.0035,0.00666,0.95657,0.8839,0.88548,0.78079,0.72625,0.48284,0.00462,0.0038,0.0003013,0.0003013,0.0003013
129,10855.1,0.80332,0.44451,0.00352,0.0068,0.95428,0.8818,0.88431,0.78218,0.72264,0.47482,0.0046,0.00382,0.000294239,0.000294239,0.000294239
130,10938.9,0.80426,0.45154,0.00355,0.00703,0.95745,0.8825,0.88542,0.78282,0.72247,0.47182,0.00459,0.00383,0.00028723,0.00028723,0.00028723
131,11022.2,0.8402,0.48852,0.00354,0.00665,0.95936,0.87523,0.88047,0.77689,0.72656,0.47728,0.0046,0.00398,0.000280275,0.000280275,0.000280275
132,11105,0.83328,0.47738,0.00361,0.00681,0.95448,0.87828,0.88645,0.78107,0.72711,0.48001,0.00459,0.00381,0.000273375,0.000273375,0.000273375
133,11188.3,0.8299,0.47704,0.00354,0.00641,0.95668,0.87988,0.88337,0.78022,0.72406,0.47817,0.0046,0.00388,0.000266532,0.000266532,0.000266532
134,11271.2,0.80461,0.44837,0.0035,0.00658,0.95991,0.88689,0.88437,0.782,0.72417,0.47761,0.00459,0.00383,0.000259748,0.000259748,0.000259748
